"shapeid","GEOID10","NAME10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"10","0620220","La Honda-Pescadero Unified School District","352386446.0","195050772.0","+37.2256503","-122.2975334","3464","177","154","195","188","171","193","197","210","285","297","344","369","282","195","79","49","48","31","1848","97","66","94","117","106","113","94","107","149","151","187","186","156","107","45","29","28","16","1616","80","88","101","71","65","80","103","103","136","146","157","183","126","88","34","20","20","15","44.4","44.4","44.3","2909","1572","1337","2817","1509","1308","2721","1449","1272","556","306","250","402","225","177","3464","3306","2681","34","10","65","3","28","4","16","4","6","4","15","4","0","1","10","501","158","49","31","12","40","2835","55","72","98","26","551","3464","968","847","2","1","118","2496","3464","968","394","14","4","1","0","494","61","2496","2287","20","6","64","15","7","97","3464","3321","1388","667","728","534","182","50","26","356","18","24","141","143","12","12","0","131","100","31","1388","809","310","667","240","55","25","87","45","579","410","233","52","177","34","339","298","2.39","2.95","1703","1388","315","18","3","12","1","190","91","1.5","3.0","1388","813","575","1875","1446","2.31","2.51","1.30530111764","0.05558065087"
"11","0639630","Travis Unified School District","114770305.0","919128.0","+38.2822211","-121.9247148","29935","1686","1819","1911","2009","2711","2532","2399","2615","2811","2922","2382","1623","1089","588","350","210","125","153","18948","857","908","975","1089","1862","1696","1554","1707","1942","2042","1672","1108","736","359","201","114","65","61","10987","829","911","936","920","849","836","845","908","869","880","710","515","353","229","149","96","60","92","34.8","36.6","31.3","24116","16010","8106","23318","15592","7726","21931","14715","7216","1991","1171","820","1426","800","626","29935","27840","16023","5983","233","3359","297","229","2266","98","96","114","259","225","39","99","45","42","2017","2095","176","678","305","233","17740","6635","567","4470","525","2383","29935","5591","3708","331","64","1488","24344","29935","5591","3355","130","56","116","39","1355","540","24344","12668","5853","177","3243","186","662","1555","29935","21217","6668","4349","7898","6018","1364","487","268","938","110","29","358","8718","7810","7794","16","908","720","188","6668","5498","3269","4349","2570","351","210","798","489","1170","877","415","66","462","136","3520","829","3.18","3.48","7424","6668","756","182","2","130","11","10","421","2.8","7.6","6668","4472","2196","14162","7055","3.17","3.21","0.52806192271","0.01191169256"
"12","0622110","Livermore Valley Joint Unified School District","681358028.0","4477343.0","+37.6396925","-121.6633595","84627","5532","5937","6114","5971","4364","5003","5268","5940","7092","7931","7164","5209","4238","3085","1924","1565","1145","1145","42062","2839","3026","3070","3079","2295","2561","2642","2902","3463","3926","3709","2592","2067","1455","900","685","461","390","42565","2693","2911","3044","2892","2069","2442","2626","3038","3629","4005","3455","2617","2171","1630","1024","880","684","755","38.6","37.8","39.4","65722","32434","33288","63117","31106","32011","60154","29559","30595","11304","5091","6213","8864","3891","4973","84627","80160","63213","1757","483","7334","1797","1441","2327","395","380","406","588","280","91","66","50","73","7093","4467","608","1657","398","829","67237","2435","1350","9527","696","8253","84627","17322","13605","596","110","3011","67305","84627","17322","8259","142","227","166","46","6880","1602","67305","54954","1615","256","7168","234","213","2865","84627","84015","30358","17938","26246","19670","4729","1431","779","4744","343","208","1847","612","213","117","96","399","154","245","30358","22280","10902","17938","8648","1448","725","2894","1529","8078","6166","2834","578","3332","1585","11706","6286","2.77","3.2","31647","30358","1289","452","29","338","54","94","322","1.6","4.8","30358","21414","8944","59965","24050","2.8","2.69","1.65715584723","0.07002332693"
"13","0606780","Cabrillo Unified School District","277484637.0","196246317.0","+37.4377424","-122.4369267","25434","1613","1580","1648","1469","1220","1205","1244","1566","1825","2126","2320","2281","2005","1324","780","515","369","344","12536","819","801","850","736","668","612","619","802","882","994","1118","1113","1012","633","373","262","140","102","12898","794","779","798","733","552","593","625","764","943","1132","1202","1168","993","691","407","253","229","242","43.2","42.1","44.3","20278","9905","10373","19634","9599","10035","18894","9191","9703","4492","2088","2404","3332","1510","1822","25434","24425","19782","182","194","1024","78","255","334","177","36","39","105","25","0","6","2","17","3218","1009","148","364","75","224","20707","303","423","1480","122","3519","25434","6787","5785","85","25","892","18647","25434","6787","3038","35","139","24","1","3167","383","18647","16744","147","55","1000","24","51","626","25434","25198","9253","5383","6966","5037","1759","579","267","1837","155","136","621","236","121","55","66","115","70","45","9253","6414","2721","5383","2236","353","160","678","325","2839","2123","870","253","1253","607","2966","2459","2.72","3.2","9893","9253","640","82","12","68","29","305","144","1.0","3.2","9253","6772","2481","17906","7292","2.64","2.94","1.09859362509","0.04823199683"
"14","0611280","Dixon Unified School District","504149644.0","7565791.0","+38.4074835","-121.7998944","21340","1513","1661","1715","1807","1455","1413","1374","1408","1538","1675","1530","1257","1051","624","491","373","230","225","10637","773","845","914","954","773","686","673","651","783","816","750","618","537","281","234","166","103","80","10703","740","816","801","853","682","727","701","757","755","859","780","639","514","343","257","207","127","145","34.0","32.7","35.2","16057","7897","8160","15277","7498","7779","14327","6984","7343","2514","1146","1368","1943","864","1079","21340","20231","15255","586","204","735","89","113","325","77","28","35","68","71","16","22","16","17","3380","1109","125","289","141","293","16235","811","395","1177","174","3772","21340","8651","7759","118","35","739","12689","21340","8651","4610","64","89","37","12","3360","479","12689","10645","522","115","698","59","20","630","21340","21319","6887","4145","7521","5367","1668","592","269","1098","98","38","421","21","0","0","0","21","14","7","6887","5426","2827","4145","2078","407","227","874","522","1461","1092","459","101","633","267","3132","1413","3.1","3.46","7312","6887","425","114","12","86","20","28","165","1.9","4.5","6887","4470","2417","13703","7616","3.07","3.15","1.25963307708","0.05277812122"
"15","0637830","St. Helena Unified School District","737431432.0","80044093.0","+38.4937566","-122.4398255","9714","438","523","581","539","506","473","461","550","587","702","771","787","809","630","438","325","241","353","4648","208","260","288","270","274","239","243","281","267","338","354","370","365","300","226","160","88","117","5066","230","263","293","269","232","234","218","269","320","364","417","417","444","330","212","165","153","236","46.4","44.9","48.0","8045","3833","4212","7816","3709","4107","7534","3578","3956","2476","1120","1356","1987","891","1096","9714","9445","7722","47","65","174","22","23","58","27","14","3","27","11","4","5","0","2","1426","269","47","47","33","95","7963","89","131","242","32","1540","9714","2792","2422","25","7","338","6922","9714","2792","1201","12","36","3","1","1404","135","6922","6521","35","29","171","10","22","134","9714","9523","4069","2042","2305","1711","449","141","75","658","41","71","212","191","17","6","11","174","108","66","4069","2529","949","2042","696","160","86","327","167","1540","1257","451","160","806","437","1049","1476","2.34","2.9","5078","4069","1009","112","10","66","24","658","139","2.7","6.1","4069","2350","1719","5300","4223","2.26","2.46","2.61985081266","0.08453419467"
"16","0610620","Davis Joint Unified School District","329812934.0","5209834.0","+38.4946474","-121.6771343","74398","2733","3166","3546","9922","18550","5819","3881","3202","3514","3618","3671","3597","2921","1950","1405","1042","858","1003","35263","1396","1635","1812","4454","8632","2961","1949","1583","1681","1646","1721","1713","1409","878","645","468","338","342","39135","1337","1531","1734","5468","9918","2858","1932","1619","1833","1972","1950","1884","1512","1072","760","574","520","661","24.6","24.7","24.5","64206","30048","34158","62723","29277","33446","49903","23760","26143","7923","3495","4428","6258","2671","3587","74398","70352","47449","1696","372","17020","1917","7690","1215","1034","1814","1423","1927","145","25","26","19","75","3670","4046","427","2067","327","442","51078","2304","1079","19583","386","4364","74398","9318","6460","247","86","2525","65080","74398","9318","4403","124","190","164","16","3460","961","65080","43046","1572","182","16856","129","210","3085","74398","69047","27137","10426","13630","11084","1801","375","345","16053","110","119","1594","5351","277","138","139","5074","2236","2838","27137","13180","6366","10426","4912","751","347","2003","1107","13957","6421","2630","416","3791","1360","6650","4514","2.54","2.96","28329","27137","1192","562","63","116","33","213","205","1.0","3.5","27137","11673","15464","29998","39049","2.57","2.53","1.13954262491","0.0345970768"
"17","0626640","Napa Valley Unified School District","671487859.0","18463473.0","+38.3381868","-122.2763008","115531","7126","7497","7853","7953","6653","7424","7123","7366","8098","8533","8528","7780","6814","4933","3532","2993","2467","2858","57873","3696","3883","4035","4078","3590","3923","3674","3761","4011","4268","4280","3773","3387","2380","1667","1360","1063","1044","57658","3430","3614","3818","3875","3063","3501","3449","3605","4087","4265","4248","4007","3427","2553","1865","1633","1404","1814","39.2","37.7","40.5","91412","45458","45954","88055","43733","44322","83738","41420","42318","20774","9469","11305","16783","7514","9269","115531","110846","81304","2430","921","8595","628","776","5615","435","268","290","583","340","69","159","35","77","17256","4685","805","1103","370","1315","85394","3131","2073","10276","739","19003","115531","37496","33112","417","126","3841","78035","115531","37496","17442","198","452","218","50","17082","2054","78035","63862","2232","469","8377","290","174","2631","115531","111921","40713","21331","33366","23931","9064","2837","1347","7447","567","419","2671","3610","2754","2178","576","856","580","276","40713","27910","12886","21331","9520","2179","1082","4400","2284","12803","9946","3728","1181","6218","3218","14292","11553","2.75","3.28","44738","40713","4025","1182","67","606","133","1210","827","2.3","7.3","40713","25770","14943","69235","42686","2.69","2.86","2.15653861562","0.07109533799"
"18","0604620","Benicia Unified School District","81867840.0","12212544.0","+38.0927119","-122.1381052","27136","1297","1659","2029","2018","1274","1296","1336","1576","1907","2306","2592","2388","2075","1224","793","621","409","336","13061","656","859","1086","1035","659","627","619","717","850","1076","1238","1116","1014","555","385","292","159","118","14075","641","800","943","983","615","669","717","859","1057","1230","1354","1272","1061","669","408","329","250","218","42.9","41.8","43.9","21697","10248","11449","20787","9787","11000","19855","9275","10580","4583","2088","2495","3383","1509","1874","27136","25333","19647","1516","136","3036","250","505","1693","157","142","82","207","102","19","41","13","29","896","1803","256","614","236","172","21186","1978","554","3966","304","1177","27136","3252","2080","191","60","921","23884","27136","3252","1735","83","42","88","6","837","461","23884","17912","1433","94","2948","96","59","1342","27136","27110","10732","5699","8172","5818","1194","424","273","1313","106","97","688","26","0","0","0","26","9","17","10732","7455","3354","5699","2315","481","283","1275","756","3277","2636","1050","250","1586","643","3632","2543","2.53","3.02","11353","10732","621","207","22","151","27","64","150","1.9","6.1","10732","7567","3165","19590","7520","2.59","2.38","0.46406937573","0.00966219841"
"19.0","0613360","Fairfield-Suisun Unified School District","616201431.0","112832771.0","+38.2073034","-122.0296674","129381","9209","9179","9588","10046","9100","9075","8595","8409","8633","9774","9682","8050","6265","4202","3273","2606","1914","1781","63515","4781","4686","4924","5126","4640","4554","4247","4117","4184","4791","4625","3845","3042","1940","1462","1152","727","672","65866","4428","4493","4664","4920","4460","4521","4348","4292","4449","4983","5057","4205","3223","2262","1811","1454","1187","1109","34.9","33.5","36.3","99364","48111","51253","95169","45977","49192","89422","42977","46445","17367","7691","9676","13776","5953","7823","129381","117929","58712","21190","1042","19597","2020","1291","12071","745","470","937","2063","1408","152","654","218","384","15980","11452","890","2764","1851","1425","67420","25442","3117","24903","3077","18606","129381","34833","27030","1379","188","6236","94548","129381","34833","13639","755","501","497","108","15695","3638","94548","45073","20435","541","19100","1300","285","7814","129381","127751","42955","22821","41770","28813","12760","4554","2042","7445","710","363","2952","1630","1285","945","340","345","178","167","42955","32171","15385","22821","10513","2774","1355","6576","3517","10784","8398","3629","910","4769","2089","17719","10075","2.97","3.4","45842","42955","2887","1149","47","706","112","120","753","2.5","6.8","42955","27346","15609","80890","46861","2.96","3.0","2.26497970963","0.07498705754"
"19.1","0613360","Fairfield-Suisun Unified School District","616201431.0","112832771.0","+38.2073034","-122.0296674","129381","9209","9179","9588","10046","9100","9075","8595","8409","8633","9774","9682","8050","6265","4202","3273","2606","1914","1781","63515","4781","4686","4924","5126","4640","4554","4247","4117","4184","4791","4625","3845","3042","1940","1462","1152","727","672","65866","4428","4493","4664","4920","4460","4521","4348","4292","4449","4983","5057","4205","3223","2262","1811","1454","1187","1109","34.9","33.5","36.3","99364","48111","51253","95169","45977","49192","89422","42977","46445","17367","7691","9676","13776","5953","7823","129381","117929","58712","21190","1042","19597","2020","1291","12071","745","470","937","2063","1408","152","654","218","384","15980","11452","890","2764","1851","1425","67420","25442","3117","24903","3077","18606","129381","34833","27030","1379","188","6236","94548","129381","34833","13639","755","501","497","108","15695","3638","94548","45073","20435","541","19100","1300","285","7814","129381","127751","42955","22821","41770","28813","12760","4554","2042","7445","710","363","2952","1630","1285","945","340","345","178","167","42955","32171","15385","22821","10513","2774","1355","6576","3517","10784","8398","3629","910","4769","2089","17719","10075","2.97","3.4","45842","42955","2887","1149","47","706","112","120","753","2.5","6.8","42955","27346","15609","80890","46861","2.96","3.0","2.26497970963","0.07498705754"
"20","0633110","River Delta Joint Unified School District","879565534.0","73937831.0","+38.2150529","-121.6757975","15215","710","792","863","842","652","624","661","715","829","950","1100","1233","1521","1275","939","721","434","354","7748","374","415","427","457","376","345","344","361","424","492","534","635","744","640","469","347","222","142","7467","336","377","436","385","276","279","317","354","405","458","566","598","777","635","470","374","212","212","49.9","48.7","51.0","12666","6431","6235","12327","6260","6067","11870","5999","5871","4669","2285","2384","3723","1820","1903","15215","14587","11481","464","144","673","28","134","319","115","14","14","49","44","17","13","4","10","1781","628","144","149","39","150","12026","532","366","875","110","1985","15215","4133","3619","73","6","435","11082","15215","4133","2014","22","49","21","1","1754","272","11082","9467","442","95","652","43","27","356","15215","14954","6456","3369","3575","2535","860","260","168","694","50","97","356","261","113","113","0","148","99","49","6456","4156","1315","3369","971","299","133","488","211","2300","1948","933","367","1015","615","1474","2676","2.32","2.88","7525","6456","1069","221","8","131","32","391","286","2.8","9.9","6456","4449","2007","9396","5558","2.11","2.77","2.18684200757","0.09809470013"
"21","0637200","Sonoma Valley Unified School District","310515952.0","1982566.0","+38.2898420","-122.4725710","39154","2031","2234","2255","2166","1775","2088","2105","2174","2367","2751","3141","3339","3201","2348","1618","1203","1110","1248","18968","1026","1117","1164","1138","993","1077","1085","1140","1171","1331","1487","1543","1456","1060","780","531","465","404","20186","1005","1117","1091","1028","782","1011","1020","1034","1196","1420","1654","1796","1745","1288","838","672","645","844","45.7","43.1","47.8","32189","15455","16734","31291","14966","16325","30114","14327","15787","9415","4102","5313","7527","3240","4287","39154","37930","31724","236","266","825","59","154","214","124","48","11","215","90","30","5","5","50","4789","1224","271","239","126","383","32844","431","605","1150","171","5260","39154","10471","9317","105","27","1022","28683","39154","10471","4945","54","143","43","6","4728","552","28683","26779","182","123","782","84","61","672","39154","38146","16145","7540","9646","7088","2137","632","288","2678","137","220","1168","1008","873","463","410","135","66","69","16145","9652","3943","7540","2871","734","377","1378","695","6493","5182","1855","653","3327","1793","4278","5513","2.36","3.0","18295","16145","2150","402","50","225","49","1094","330","2.2","6.1","16145","9968","6177","22472","15674","2.25","2.54","1.02985094246","0.03217974331"
"22","0636670","Shoreline Unified School District","601067219.0","436932829.0","+38.1855185","-122.9483727","6064","228","267","251","259","212","251","295","290","380","418","477","606","767","507","354","219","144","139","2924","101","129","130","126","101","133","142","145","191","200","222","277","358","244","179","115","72","59","3140","127","138","121","133","111","118","153","145","189","218","255","329","409","263","175","104","72","80","52.1","51.3","52.6","5260","2538","2722","5151","2489","2662","5005","2418","2587","1840","889","951","1363","669","694","6064","5888","5239","34","31","84","10","22","10","28","8","1","5","9","1","0","1","7","491","176","68","42","11","30","5404","54","109","134","21","528","6064","1002","842","30","11","119","5062","6064","1002","447","8","12","2","1","481","51","5062","4792","26","19","82","8","10","125","6064","6020","2871","1365","1179","850","184","54","27","421","9","41","224","44","0","0","0","44","23","21","2871","1612","489","1365","377","95","44","152","68","1259","987","438","146","549","239","521","1006","2.1","2.69","4639","2871","1768","151","7","52","16","1409","133","3.0","11.3","2871","1690","1181","3412","2608","2.02","2.21","2.39868956289","0.10672439138"
"23","0609940","Cotati-Rohnert Park Unified School District","37657995.0","29015.0","+38.3392564","-122.7071204","52116","2786","2845","2965","5093","6795","3976","3284","2961","3298","3832","3753","3307","2559","1482","1043","748","657","732","25040","1393","1447","1529","2289","3240","2025","1721","1491","1652","1812","1789","1568","1208","655","468","291","242","220","27076","1393","1398","1436","2804","3555","1951","1563","1470","1646","2020","1964","1739","1351","827","575","457","415","512","32.3","31.6","33.0","42897","20355","22542","41603","19657","21946","36700","17613","19087","6102","2553","3549","4662","1876","2786","52116","49193","40313","952","507","2609","347","510","643","230","210","217","452","217","46","12","45","114","4595","2923","529","787","407","545","42988","1592","1259","3708","508","5297","52116","10833","8465","301","80","1987","41283","52116","10833","4947","61","231","80","18","4507","989","41283","35366","891","276","2529","199","88","1934","52116","49574","19482","8098","13256","9319","2865","934","424","5873","217","137","1712","2542","210","66","144","2332","812","1520","19482","11531","5410","8098","3558","1109","603","2324","1249","7951","5175","2188","429","2987","1219","5964","3725","2.54","3.1","20433","19482","951","450","33","224","17","65","162","2.0","4.9","19482","10736","8746","28349","21225","2.64","2.43","0.31887426579","0.00388340344"
"24","0627720","Novato Unified School District","153709770.0","65644372.0","+38.0982314","-122.5402875","58596","3337","3773","3685","3382","2586","2849","3056","3575","4398","4737","4782","4696","4247","3197","2126","1624","1167","1379","28370","1727","1958","1865","1816","1398","1447","1504","1733","2087","2272","2250","2189","1932","1552","962","731","485","462","30226","1610","1815","1820","1566","1188","1402","1552","1842","2311","2465","2532","2507","2315","1645","1164","893","682","917","43.5","41.8","45.0","47043","22436","24607","45543","21634","23909","43863","20696","23167","11958","5288","6670","9493","4192","5301","58596","55886","45416","1470","308","3680","614","1146","634","338","252","309","387","124","36","16","15","57","4888","2710","265","944","347","590","47842","2040","824","4889","297","5664","58596","11690","6301","278","80","5031","46906","58596","11690","5694","104","188","65","14","4693","932","46906","39722","1366","120","3615","110","195","1778","58596","57967","23010","12025","16167","12051","2934","791","519","3831","205","293","1374","629","177","66","111","452","256","196","23010","15413","6903","12025","5179","967","471","2421","1253","7597","5943","2202","730","3741","1955","7399","6932","2.52","3.02","24049","23010","1039","344","27","168","35","154","311","1.0","4.6","23010","15902","7108","38939","19028","2.45","2.68","0.9225760346","0.02252907894"
"25","0634710","San Lorenzo Unified School District","28573309.0","14932017.0","+37.6671133","-122.1485865","77309","5335","5222","5261","5546","5155","5541","5521","5483","5433","5711","5710","4744","3771","2467","1886","1610","1451","1462","37769","2752","2632","2673","2937","2547","2719","2721","2712","2686","2789","2821","2284","1751","1158","811","689","549","538","39540","2583","2590","2588","2609","2608","2822","2800","2771","2747","2922","2889","2460","2020","1309","1075","921","902","924","36.0","34.8","37.1","60382","29099","31283","58092","27888","30204","54873","26235","28638","10928","4692","6236","8876","3745","5131","77309","72688","30813","8823","706","17519","571","7477","5946","393","279","1846","1007","757","74","122","175","386","14070","4621","451","869","497","1109","34320","10092","1627","19265","1319","15832","77309","28334","21442","1014","97","5781","48975","77309","28334","11015","362","453","274","69","13912","2249","48975","19798","8461","253","17245","688","158","2372","77309","76317","25344","12148","24276","16171","9301","2598","1547","5248","397","241","1835","992","586","343","243","406","258","148","25344","18312","8828","12148","5919","1819","761","4345","2148","7032","5406","2304","622","3102","1478","10120","6584","3.01","3.5","26631","25344","1287","543","23","222","68","60","371","1.5","4.7","25344","14384","10960","43256","33061","3.01","3.02","0.49658959552","0.00444278409"
"26","0634680","San Leandro Unified School District","30042922.0","6008879.0","+37.7069168","-122.1659697","68320","4379","4217","4100","4231","4054","4784","4742","4976","4970","5300","5253","4550","3805","2449","1813","1549","1428","1720","32804","2170","2137","2069","2229","2085","2334","2341","2361","2444","2545","2529","2146","1766","1148","775","645","529","551","35516","2209","2080","2031","2002","1969","2450","2401","2615","2526","2755","2724","2404","2039","1301","1038","904","899","1169","38.8","37.3","40.0","54729","25951","28778","53019","25075","27944","50627","23775","26852","11038","4630","6408","8959","3648","5311","68320","64429","25611","9306","540","18778","524","8214","6172","378","431","1970","1089","535","70","138","139","188","9659","3891","297","871","484","788","28525","10526","1249","20425","964","11001","68320","19401","14405","702","96","4198","48919","68320","19401","7279","342","330","209","38","9490","1713","48919","18332","8964","210","18569","497","169","2178","68320","67700","25134","11125","19707","13038","7406","1947","1384","4328","294","234","1785","620","368","108","260","252","118","134","25134","16374","7465","11125","5130","1557","617","3692","1718","8760","7048","2980","719","4068","1741","8490","6691","2.69","3.34","26600","25134","1466","697","36","209","52","67","405","1.5","5.7","25134","13554","11580","38567","29133","2.85","2.52","0.40492149601","0.00368353181"
"27","0630330","Piedmont City Unified School District","4344954.0","0.0","+37.8225578","-122.2300942","10667","516","873","1017","792","270","226","170","419","823","935","1006","1035","946","569","352","282","220","216","5188","281","435","534","416","139","111","70","178","377","438","456","519","479","275","154","136","103","87","5479","235","438","483","376","131","115","100","241","446","497","550","516","467","294","198","146","117","129","46.2","45.6","46.7","8053","3823","4230","7650","3619","4031","7433","3504","3929","2166","1031","1135","1639","755","884","10667","10113","7917","144","6","1939","107","1283","85","150","142","52","120","13","3","4","3","3","94","554","15","384","57","16","8435","252","54","2374","27","126","10667","421","210","9","11","191","10246","10667","421","285","8","2","15","2","39","70","10246","7632","136","4","1924","11","55","484","10667","10664","3801","2738","3603","2943","236","58","82","286","15","31","105","3","0","0","0","3","3","0","3801","3117","1569","2738","1342","119","72","260","155","684","578","159","70","419","274","1606","1151","2.81","3.11","3924","3801","123","17","3","16","12","17","58","0.5","3.7","3801","3358","443","9393","1271","2.8","2.87","0.09444552866","0.00044462205"
"28","0628050","Oakland Unified School District","144883555.0","57539591.0","+37.7698573","-122.2256401","390785","26101","22994","20826","22464","27021","33905","34104","32181","28971","26860","26106","24649","21037","13692","9545","7366","6112","6851","189551","13397","11709","10500","11296","13228","16317","16666","16037","14601","13318","12624","11594","9857","6326","4332","3164","2359","2226","201234","12704","11285","10326","11168","13793","17588","17438","16144","14370","13542","13482","13055","11180","7366","5213","4202","3753","4625","36.2","35.5","36.9","316575","151765","164810","307660","147249","160411","293539","140259","153280","55188","23817","31371","43566","18407","25159","390785","368901","134939","109497","3040","65819","2114","34090","6070","2032","2446","8766","10301","2222","168","142","238","1674","53384","21884","1598","4575","3752","3691","151181","119153","8324","73785","3574","59666","390785","99078","70808","2736","862","24672","291707","390785","99078","33619","2834","1826","684","141","52171","7803","291707","101320","106663","1214","65135","2081","1213","14081","390785","382647","153816","50804","99772","68545","39310","12286","4605","38945","1831","1372","14732","8138","2463","1574","889","5675","3070","2605","153816","83731","38618","50804","22818","8800","3627","24127","12173","70085","52112","22984","4559","29128","9221","44764","33618","2.49","3.27","169737","153816","15921","8419","302","1979","493","633","4095","3.0","8.5","153816","63153","90663","166699","215948","2.64","2.38","1.25996331852","0.02069960447"
"28.ring1","0628050","Oakland Unified School District","144883555.0","57539591.0","+37.7698573","-122.2256401","390785","26101","22994","20826","22464","27021","33905","34104","32181","28971","26860","26106","24649","21037","13692","9545","7366","6112","6851","189551","13397","11709","10500","11296","13228","16317","16666","16037","14601","13318","12624","11594","9857","6326","4332","3164","2359","2226","201234","12704","11285","10326","11168","13793","17588","17438","16144","14370","13542","13482","13055","11180","7366","5213","4202","3753","4625","36.2","35.5","36.9","316575","151765","164810","307660","147249","160411","293539","140259","153280","55188","23817","31371","43566","18407","25159","390785","368901","134939","109497","3040","65819","2114","34090","6070","2032","2446","8766","10301","2222","168","142","238","1674","53384","21884","1598","4575","3752","3691","151181","119153","8324","73785","3574","59666","390785","99078","70808","2736","862","24672","291707","390785","99078","33619","2834","1826","684","141","52171","7803","291707","101320","106663","1214","65135","2081","1213","14081","390785","382647","153816","50804","99772","68545","39310","12286","4605","38945","1831","1372","14732","8138","2463","1574","889","5675","3070","2605","153816","83731","38618","50804","22818","8800","3627","24127","12173","70085","52112","22984","4559","29128","9221","44764","33618","2.49","3.27","169737","153816","15921","8419","302","1979","493","633","4095","3.0","8.5","153816","63153","90663","166699","215948","2.64","2.38","1.25996331852","0.02069960447"
"29","0627060","Newark Unified School District","36113646.0","60530.0","+37.5041413","-122.0323587","42573","3142","2929","2860","2951","2741","3128","3249","3208","3112","3243","3030","2469","1985","1477","1206","866","571","406","21217","1662","1518","1478","1480","1442","1593","1631","1576","1546","1635","1483","1217","965","688","541","374","238","150","21356","1480","1411","1382","1471","1299","1535","1618","1632","1566","1608","1547","1252","1020","789","665","492","333","256","35.4","34.4","36.5","33041","16246","16795","31774","15625","16149","30154","14801","15353","5652","2528","3124","4526","1991","2535","42573","39774","17566","2002","279","11571","2500","2612","4054","252","261","980","912","621","31","56","119","415","7735","2799","172","911","176","522","19685","2426","647","13163","1141","8630","42573","14994","12221","352","56","2365","27579","42573","14994","5840","94","184","167","20","7634","1055","27579","11726","1908","95","11404","601","101","1744","42573","42428","12972","7832","13743","8966","5313","1620","892","2568","203","114","752","145","0","0","0","145","66","79","12972","10334","4862","7832","3825","786","300","1716","737","2638","1942","834","182","1108","523","5643","3282","3.27","3.6","13414","12972","442","170","7","92","20","17","136","1.0","4.0","12972","8942","4030","28489","13939","3.19","3.46","0.31310824881","0.00368693696"
