"shapeid","x","y"
"0","-121.904721","37.731863"
"0","-121.905462","37.731669"
"0","-121.908445","37.730896"
"0","-121.90944","37.730639"
"0","-121.909525","37.730616"
"0","-121.909782","37.73055"
"0","-121.909868","37.730528"
"0","-121.909921","37.730514"
"0","-121.910084","37.730473"
"0","-121.910138","37.73046"
"0","-121.910201","37.730446"
"0","-121.910394","37.730405"
"0","-121.910459","37.730393"
"0","-121.91057","37.73038"
"0","-121.911021","37.73033"
"0","-121.911147","37.730318"
"0","-121.912688","37.73"
"0","-121.913243","37.729887"
"0","-121.913497","37.72984"
"0","-121.913568","37.729828"
"0","-121.914254","37.729678"
"0","-121.914507","37.729623"
"0","-121.914828","37.729547"
"0","-121.915791","37.729321"
"0","-121.916113","37.729246"
"0","-121.916304","37.729202"
"0","-121.916876","37.729071"
"0","-121.917068","37.729028"
"0","-121.917128","37.729013"
"0","-121.917311","37.728969"
"0","-121.917372","37.728955"
"0","-121.918375","37.728712"
"0","-121.921387","37.727985"
"0","-121.922391","37.727744"
"0","-121.922393","37.727743"
"0","-121.922454","37.727728"
"0","-121.922644","37.727682"
"0","-121.922708","37.727667"
"0","-121.922869","37.727628"
"0","-121.923119","37.727575"
"0","-121.924356","37.727314"
"0","-121.92474","37.727234"
"0","-121.924769","37.727228"
"0","-121.925008","37.727167"
"0","-121.925728","37.726988"
"0","-121.925909","37.726944"
"0","-121.925969","37.726929"
"0","-121.926109","37.726909"
"0","-121.926315","37.726879"
"0","-121.926529","37.726848"
"0","-121.926669","37.726828"
"0","-121.92707","37.726735"
"0","-121.927244","37.726695"
"0","-121.928969","37.726297"
"0","-121.929269","37.726228"
"0","-121.929385","37.726199"
"0","-121.929372","37.726078"
"0","-121.929544","37.726166"
"0","-121.929547","37.726164"
"0","-121.929558","37.726155"
"0","-121.929564","37.726154"
"0","-121.929799","37.726095"
"0","-121.930507","37.725918"
"0","-121.930744","37.72586"
"0","-121.930986","37.725799"
"0","-121.931277","37.725717"
"0","-121.931669","37.725629"
"0","-121.931715","37.725621"
"0","-121.931962","37.72558"
"0","-121.932134","37.725551"
"0","-121.932652","37.725464"
"0","-121.932825","37.725436"
"0","-121.933263","37.725215"
"0","-121.933499","37.725154"
"0","-121.935634","37.724605"
"0","-121.935925","37.724531"
"0","-121.936352","37.724472"
"0","-121.936481","37.724426"
"0","-121.936871","37.724291"
"0","-121.937003","37.724247"
"0","-121.937068","37.724347"
"0","-121.93741","37.724224"
"0","-121.938654","37.723784"
"0","-121.939068","37.723638"
"0","-121.939191","37.72373"
"0","-121.939207","37.723606"
"0","-121.939262","37.723598"
"0","-121.93983","37.723532"
"0","-121.94002","37.723512"
"0","-121.940195","37.723484"
"0","-121.940252","37.723445"
"0","-121.940305","37.72341"
"0","-121.940953","37.723274"
"0","-121.941169","37.723229"
"0","-121.941189","37.723225"
"0","-121.941285","37.723205"
"0","-121.941572","37.723148"
"0","-121.941669","37.723129"
"0","-121.941798","37.723096"
"0","-121.942189","37.722998"
"0","-121.942319","37.722966"
"0","-121.942383","37.722946"
"0","-121.942498","37.722926"
"0","-121.942592","37.72291"
"0","-121.943419","37.722768"
"0","-121.943695","37.722722"
"0","-121.943703","37.722719"
"0","-121.943729","37.722712"
"0","-121.943738","37.72271"
"0","-121.943889","37.722666"
"0","-121.943933","37.722654"
"0","-121.943967","37.722644"
"0","-121.943994","37.722636"
"0","-121.944075","37.722613"
"0","-121.944183","37.722582"
"0","-121.944764","37.722423"
"0","-121.945022","37.722354"
"0","-121.945825","37.722138"
"0","-121.948237","37.721492"
"0","-121.949041","37.721278"
"0","-121.949076","37.721268"
"0","-121.949183","37.721239"
"0","-121.949219","37.72123"
"0","-121.949394","37.721183"
"0","-121.949919","37.721042"
